content	label
Den pisteuo oti einai 44 TheVoiceGR	0
Okhi kuria Kagia,lathos . Oloi xeroume oti den tha sosoume ton kosmo . Alla prepei na paleuoume kathe mera gia na ton sosoume ! gntmgr gntm	0
Aphront-etta kata ta alla meiones ten Ria legontas pos esu eisai e dunate prepei na meineis ....... tromara sou SurvivorGR	0
@USER Bazo na sou milesei e dikia mou . "Megale kophto auto me tis poutanes giati tha se kunegao akoma kai ston upno sou"	1
Kai meis maria mou na deis poso to eukharistethekame gntmgr	0
Basika ego auto pisteuo ! Mporeis kai ekheis dikaioma na eisai o,ti theleis ! Opos kai to pou kai pos tha gennetheis einai tukhe ! Semasia ekhei o kharakteras ! gntmgr	0
giatinparea ego thelo ena phouskotokhelona pou na bro !	0
Etoimasteke e Sia gia ta eukharisteria ap'ton Mpakogianne,o opoios eukharistese ten aderphe tou ... Ti porta ephages more Kossione; ekloges_2019	0
@USER Pio pithano apo te gunaika tou se tupo patoulenas	0
- Eisai e zoe mou . - Na me prosekheis loipon, giati e zoe einai glukia ....	0
to blema e belma eipe gia ten zenia oti einai polu kalo paidi k ekhei polu kale psukhe ...okhi alles malakies ...poweroflovegr	1
Reportistas . Agapemenes kai agapemenoi teletheoi kai Telethees prosokhe ! Phetos me tosa Phainal-phor, tha khasoume te mpala, to mikrophono kai kati auga apo ta kalathia . thefinal4gr TheVoiceGR	0
Roz poutanes, den katalabe re o kosmos ti psephise . Men masate, KsANAERKhETAI syriza_xeftiles erkhetai_megalutere ekloges2019	1
E omada tou Tsaousopoulou apodekatizetai logo tou coach tous . Phlompa o Mikhales telika os krites . XFactorGR	0
@USER Katarkhas giati eisai xupnios tetoia ora .. Deutero . ti psephises kai trito apoluta anamenomene apantese re Spuro .. Psaxte to omos auto oi aristeroi .. auto pou oloi einai khazoi kai den sas katalabainoun ...	0
Ean ekheis suneidetopoiesei oti eisai malakas meneis tapeinos	1
@USER Eipame: Eisai askhetos opos kathe patridokapelo ethniki .	0
@USER Ego eukhomai na kheis dikio omos polles kineseis tou Metsotake de maresan eidika sto kommati tes ethnikes thorakises pou khreiazetai e khora oson aphora tous metanastes k ten upokhoritikoteta . Pisteuo omos se alla prosopa tes ND . To kako einai pos den uparkhei allos khronos e Ellada sbenei	0
e katia pethane apo te zeleia tes katia antis unite gntmgr	0
Ksekina tora triskatarate katharistria na stelneis biographika se sunergeia katharismou e xekina tis pipes ....Karekla alle den prokeitai na xana deis .Sto diaolo kai akoma parapera	1
Phetos einai sigoura e khronia ton gunaikon . Auto to koritsi me to peisma kai to pathos tou ekhei deixei polla . Kai an phetos nikesei gunaika tha kharo polu na eisai esu DimitraVamvakousi survivorgr	0
Aphonos o Nikos Moutsinas me ten Maria Eliake ! <<Ama den to baphtiso tha sas kapso zontanous>> kalomesimeraki moutsinas	0
@USER Eukharisto polu Katerina mou gia ta kala sou logia ! Na eisai kala !	0
@USER Gia to Antarsua to Lae, einai oti gia to kke to Antarsua . Den einai arketa kokkino . Eidika o Laphazanes pou perase apo Tsipra einai molusmenos . Den tous kategoro, sou eipa protimo na ekheis ideologia ki as khaseis psephophorous ap'to na eisai Psarianos kai Oikonomou .	0
Ego pantos de tha stenakhoriomoun an khoriza kapoion me kitrino louloudato poukamiso ..poweroflovegr	0
En to metaxu ekho arkhisei na bariemai trella .. gntmgr	0
Ta gallika, etan e glossa tes Aristokratias tote kokkinopotami	0
-pou theleis na teleioso ; -opou theleis esu . Delade re malaka mia xekathare apantese den tha paroume pote . Ti theleis na phame, oti thes esu . Pou thes na pame, opou thes esu . A kai GAMESOU , opou thes esu .	1
Ta gallika tes einai anamesa se Tzou apo philarakia kai Blakhopoulou sten Pariziana TheVoiceGR	0
KALEMERA erthe_kai_etan_megale suriza_telos SURIZA_xephtiles	0
E Antzela @USER den tha nai guest sto skhema ste Thessalonike . Tha nai kanonika me Kholide, Giannia kai Eirene Papadopoulou . To eipe khthes sto kalomesimeraki . kalytera	0
Toso polu sumpathoun ten keisi gntmgr	0
@USER Ela Tanase, mualara, tous xegelases olous re idiophuIa trele, to paizeis phileuteros, tromara sou . Molis eides to khrema apo E .E . gia tous eisagomenous, oute ta proskhemata den mporeses na krateseis . Se kale meria Tanase, kalophagota, kai na pan sto diaolo apantes oi upoloipoi !	1
Mpla, oumph ... Mono sta Agglika e Kagia leei kanonikes lexeis kai protaseis ! GNTMgr	0
Telika Nai e Katerina einai pio khaze kai apo agkinara poweroflovegr	1
Den ekho dei perissoteres gunaikes se etairia mekhanikon . 	0
Auto pou ekhei ginei thema gia ena abokanto; Na milousame gia prophiterol, na to katalabo .. gntmgr	0
Nai geia sas, to ekhete auto se akribo; GNTMgr	0
@USER Eisai mounti dld	0
Tesseris apo autes den eprepe na tis ntusoun gorgones, eprepe na tis ntusoun smernes GntmGr	1
