content	label
Δεν πιστευω οτι ειναι 44 TheVoiceGR	0
Οχι κυρια Καγια,λαθος . Ολοι ξερουμε οτι δεν θα σωσουμε τον κοσμο . Αλλα πρεπει να παλευουμε καθε μερα για να τον σωσουμε ! gntmgr gntm	0
Αφροντ-ηττα κατα τα αλλα μειωνες την Ρια λεγοντας πως εσυ εισαι η δυνατη πρεπει να μεινεις ....... τρομαρα σου SurvivorGR	0
@USER Βαζω να σου μιλησει η δικια μου . "Μεγαλε κοφτο αυτο με τις πουτανες γιατι θα σε κυνηγαω ακομα και στον υπνο σου"	1
Και μεις μαρια μου να δεις ποσο το ευχαριστηθηκαμε gntmgr	0
Βασικα εγω αυτο πιστευω ! Μπορεις και εχεις δικαιωμα να εισαι ο,τι θελεις ! Οπως και το που και πως θα γεννηθεις ειναι τυχη ! Σημασια εχει ο χαρακτηρας ! gntmgr	0
giatinparea εγω θελω ενα φουσκωτοχελωνα που να βρω !	0
Ετοιμαστηκε η Σια για τα ευχαριστηρια απ'τον Μπακογιαννη,ο οποιος ευχαριστησε την αδερφη του ... Τι πορτα εφαγες μωρη Κοσσιωνη; εκλογες_2019	0
@USER Πιο πιθανο απο τη γυναικα του σε τυπο πατουλενας	0
- Εισαι η ζωη μου . - Να με προσεχεις λοιπον, γιατι η ζωη ειναι γλυκια ....	0
το βλημα η βηλμα ειπε για την ζενια οτι ειναι πολυ καλο παιδι κ εχει πολυ καλη ψυχη ...οχι αλλες μαλακιες ...poweroflovegr	1
Reportistas . Αγαπημενες και αγαπημενοι τηλεθεοι και Τηλεθεες προσοχη ! Φετος με τοσα Φαιναλ-φορ, θα χασουμε τη μπαλα, το μικροφωνο και κατι αυγα απο τα καλαθια . thefinal4gr TheVoiceGR	0
Ροζ πουτανες, δεν καταλαβε ρε ο κοσμος τι ψηφισε . Μην μασατε, ΞΑΝΑΕΡΧΕΤΑΙ syriza_xeftiles ερχεται_μεγαλυτερη εκλογες2019	1
Η ομαδα του Τσαουσοπουλου αποδεκατιζεται λογω του coach τους . Φλομπα ο Μιχαλης τελικα ως κριτης . XFactorGR	0
@USER Καταρχας γιατι εισαι ξυπνιος τετοια ωρα .. Δευτερο . τι ψηφισες και τριτο απολυτα αναμενομενη απαντηση ρε Σπυρο .. Ψαξτε το ομως αυτο οι αριστεροι .. αυτο που ολοι ειναι χαζοι και δεν σας καταλαβαινουν ...	0
Εαν εχεις συνειδητοποιησει οτι εισαι μαλακας μενεις ταπεινος	1
@USER Ειπαμε: Εισαι ασχετος οπως καθε πατριδοκαπηλο εθνικι .	0
