,label,predicted_label,content
0,0,0,@USER έλ να ν δ α εδ και εμ αν δεν κάνει ο καλ αιδί αν ον ολεμήον ο 1/3 α ο ολέμηαν ην Χ . ι ανοέ ο ο δεν είαι ο καλά είναι αν γίνει θέλ να δ ι θα κανει
1,0,0,survivorgr  αι 60 οέ και με διαοεικο ...  είαι ολ οκαο κοίι μο
2,0,0,"αι μο έλεγε η γναίκα μο ο ί άε ην ια μαζί ο θα εινάει .. θελα κι εγ να ο αίξ ζένλεμαν και η λέ άην ε ..δεν ειάζει,δεν εινά . Τα ο εινά και δεν μο να ά κάι;ο είναι η ια;"
3,0,0,κα α εια αο ον κανακη
4,0,1,"@USER μην μα ο αιζει ονοη,κοαιια ο κεαα . μεαξ α αα να α λεε,δημοι δεν ιανον . Φαιαια ,αιε,αιδοκαηλα ανιοηα οκομικα ανθαια η δεξια/ναζι"
5,0,0,"αι είε η ειη, έλα ννα κάε ο αθί α να μάθει να έεαι . gntmgr"
6,0,0,"@USER ιλά με γναίκα για η γναικεία κάβλα . ενικά δεν ο έει ξαναάθει, οε ο αίνεαι είεγο ."
7,1,1,@USER αν η  ο βαν καλή μο . Τι να ονε ι είναι μαλακε;
8,0,0,@USER 1ον . εν ειναι ιδιοκήη ο Noor1 ο αινακη . 2ον .  «ανεξάηη» ικαιονη  ονοεί λειογεί και α δηλαδή;
9,1,1,ολάκη α α . νε γαμηο μ
10,0,0,ιμο ην ειαε ην άλληλο; shoppingstar
11,0,0,εεαι_ΥΤΣ Ω έλη ονίο θα ει ελειει και η ναξη γιαί ην έδε 1 βδομάδα νίεα .
12,0,0, ΦΥ ;Τ   ΣΩ ; gntmgr
13,0,0,ε λίγα εειδια είδα η οανλλη θα κάνει μάθημα ιαία η ελίη θα ζήομε μεγάλε ιγμέ GynaikaXwrisOnoma
14,0,0,@USER ι μονανο είναι α
15,0,0,ξιοημείο ι ειγάει η ολιική ο εαμζει ο λέξη Τία για ο ολλο .ι ο ο ειάζεαι Ω ΣΥ ΦΡΤ  ΤΥΣ  ΥΥΣ». δειάζει με ο ο ο ον  ο λοιδεί α αα  μέα ο έεε ο θογ ήιε η ολή;
16,0,1,"@USER ο ο είε ζήει,  και γ, ανάο ο βλακα είαι ο ο και δεν είε κααλάβει  να μην ο ξαναμβεί ."
17,0,0,@USER  έει να είαι ο άνθο ..
18,0,0,εν έμαθε οε α ον ιάλη οε α ον οδα . ιαί έοιο βεληνεκο οιάνο είαι . ίμα .
19,0,0,"λα ναξ, κοαε λίγο ο άοα με η μίμηη ο αακν/νο !  κάνει και κανέναν άλλο ! xfactorgr"
20,0,0,Ρε άη ήμεα έει διαγεια ..... gntmgr
21,0,0,ιαί ι ξανακοβαληαν αέ; shoppingstar
22,0,1,ια οα ακοδεξιοί και ο Ψμιάδη να ήνει οβλάκια .... μαμεκιο διαβαα
23,0,1,"οο εηανα να ειναι ημεα α ναζιδια ο ειδαν ον Φεικο ο να εμει μοα ην ικαιονη ! ιληε ααξιικα για βολεε ο, ειε  ο αιειμο δεν ειναι ναζιικο, οι δεν ειναι αια . νηθηκε δλδ αγμαα για α οοια ""αγνιζεαι"" μια ολοκληη ζη ."
24,1,1,"@USER βγάλε ο ομοοβικ εμε έει α , γιαί ε λίγο ο gay pride ο θα δει ον κολη και ην αέα ο ! έ ονά αιθάνεαι οδομένο αλλά α κάι έοιο μαλακέ αν και ένα ειζον αοί !"
25,0,0,άνει μάνιο για να είαι καθα . αίνει ηλεκικ . άνει μάνιο με ον ιδα ο . αλ καλοκαίι .
26,0,0,λληνικ κάο είναι α ο είαι οήιο δημοικ μβολο ην ήλο αλλά ηίζει ον ειαιά . αι ο μαθαίνει ήμεα . αι
27,0,0,ι δο δεν ι θμαμαι διολο shoppingstar
28,0,0,εμεί οι γναίκε και α θμαάκια να άμε θα βάλομε ονέιον  shoppingstar
29,0,0,"ι αίε ο θα ι μολιάον οι ιάε, ααάν αο 2 αιδιά μέο ο, δε θα κάνον . αλεα να μα είλον γναίκε, να ι μολιάον οι αίοι, να κάνον αο 6 ή 8 αιδιά, να λομε και ο ααλιικ . νε δέ θέλομε . ομε ."
30,1,0,"ήγαινα με 80 ε ηγμένη θνική, ονα κάνο (ν 800, ι ο άκικε), μοάν, γάνια, με, ανελνι με ειγοναίδε και άλι διέλα ον μο μο . εν είε μάγκε αν δεν οάε οαεικά η μηανή . αλάκε είε ."
31,0,0,@USER καοιοι δε κληαινον οε ....αλα κλεινοναι ...κ δναο δε γινεαι μ ο άδικο ...δναο ειαι για οα ξεενα ..ενα ..νικα ι κανει ν ξεει ....για οα βοηθα και ηιζει ... να ε καλα
32,0,0,"ολ ικέ οι ανιδάει η ικη, καμιά εβολή και άλι, οθενα . GNTMgr"
33,0,0,έ δεν ξέον καν ι είναι η εαλίεη εν ο μεαξ gntmgr
34,0,0,@USER ιεε με ξε και ολ καλα ελληνικα και ηιμοοι ολ καλα ην γλα και οιαζομαι οι ειμαι και μεγαλεο αν νομιζει α οι μο ην ειε με ο λεξικο εειδη ο λε οι ο νανο ειναι καλεο ε ολα αο δαλακα ειαι ολ γελαμενη
35,0,0,"@USER ""αγμαικά"" η ι θμαα ιμειαλιικν ολέμν, οε διαίζοναι α θμαα ν ολέμν, α αιδιά, οι οικογένειε οι γε γενικά με βάη ην θηκεία η ην γλα . ι εοέ μοεί να είναι διαοεικέ, η οία ο αιμο δεν αλλάζει ."
36,0,0,poweroflovegr 7 μεε ι μαναοκι ... α αο-δηληηιαομε ε αν δεν ο βγαλομε αο μεα μα μεα αο οη εηη ! ανονιε !
37,0,0,"gntmgr ομιζ λεον οι ""δοκιμαιε"", εα αο ην λακα, εον αει, καθαα, αακηα γελοιοοίηη ν αικιν ."
38,0,0," ο δεν έεε κααλάβει νοοι και ξείλε νοδοιοι είναι ι ο ον ΣΥΡ είναι λέον οξικ . αι  έοιο ανιμείζεαι: ο ιο μακιά, ο ιο καλά"
39,1,0,@USER ε δεν α ο διάολο και ε και ο κολη
40,0,0, αίο μνο ο κοει ο GNTMgr ο δεν κηκε . ιάι ια AgriesMelisses
41,0,0,"Τι κκλο να έει ε άι μο, ο άνα ο έει και για ο δο . shoppingstar"
42,1,0,ο μονι η αια δεν βγαινει οε ο ηλιο kalomesimeraki
43,0,0," οέν αίνεαι ολ γλκιά αξη, αν δεν έκανε εκείνη ην ααέλα δε νομίζ να ην θμμααν shoppingstar"
44,1,1,"@USER λογικ δεν είναι; είδαν ι έγινε ην λανδία, ο λέει άε μην κάνον καμιά ααιά και βγει κανένα ολιικ με αίδια και α κάνει λα μααλο"
45,0,0,@USER Υάει μια διαοά ο Σιζα ...εά ο ιζα ο θα εεαι_ΥΤΣ θα γινει αγμαικηα ! ν ι .. δεν άει άλλη ελίδα ...διαβαήια κ δμο ! ολιάε μνοι α !
46,1,0,"poweroflovegr ον καινογιο ο είε η μάνα ο ""να α αιδί μο αλλά κοία να είναι καμία αθένα "" κι α διάλεξε ην ννα ο είναι οανα ην ή ."
47,0,0,είει η αίνα μα GNTMgr
48,0,0,kokkinopotami ελογιάηκε ίλο !
49,0,1,"- εγ αγά και βαανιικά καεβάζ ο εοο ο ... - ε, βλαμμένο ειαι; Τελείνε με α αλμένα, ιαλιζει !  αζή"
50,0,0, ο η δεξιά εαι ανάξη και θέει εγαία ο οέ κανεί δεν βλέει για να κονομαει είναι ο δεεο καλεο κλο ο έει καιεί κάοιο μεά ην εκκληία _ξειλε εκλογέ κλογε_2019
51,0,0,"Σήμεα ηίζομε . ο μα μέλημα η ήα ο αιμο . α είλομε ο μήνμα ε λη ην η για αναοή ο νηηιμο και ιή οιαλδημοκαία . ια μια η με κοιννική δικαιονη, αλληλεγγη και αξιοεεί δολειέ για λο . @USER Proti_Epilogi"
52,1,1,@USER ε γαμα μαλακε ειμαι εηλεκηκη ! α με ανδε οι με λολοδε αν εενα αελημενε αγαμηε ααα
53,0,0,..μέαμα: δεν έει ημαία ο αν έει νή κ αλένο ..ημαία έει ι κ να' αι ..να έει ολλο fans για να ε ηίζον !. ιει για λα α talents show ! XFactorGR
54,0,0,"gynaikaxwrisonoma ενμεαξ η ελλη νοιαζεαι να μην κανει κακο η ελιη η αια,γλκολα με καοιε οε"
55,1,0,@USER ι λε μη μαλακ δεν αοαιζει η λειοηια αλλ οιο; μη εει να αομε ην αδειαα; ειαε ολοι για α ιδεα
56,1,0,"ειμαι ε διλημμα ή να αοκαλθ οια ειμαι ε να μοε να α ηθ και να α καλε ε αγμαα ο θελ ή να νει ην αννμια και να βιζομε ον καιολη, ην καιολα, να λεμε ακοηε για να εναει η α ..."
57,0,0,ολ καμία δεν η αιέηε gntmgr
58,0,0,"ίναι μαγνηική η ομοιά η ννα αία άν, θα άει ηλά gntmgr"
59,0,0,νο εγ ο βαέθηκα ο .. ; poweroflovegr
60,0,1,@USER Σήμεα; άι άκοα ι θα αίξει ξλο η Σοζάννα .. GNTMgr
61,0,0,"Τ ΣΦΤ να ο αανή, αν μο είλει: ει μοα και ελνει ε μονοανο; Τ ΤΩ: αληέα αγάη μο"
62,0,0,GNTMgr Σαν ονο οινι ειναι αο
63,0,1," άλλο ο έοβο ονμαε ην αβενα - α 5 : ίλε άγε έε, ίλο, γε . γ θέλ να ιάξ μια αμέλα για λο κ λα- α 5γ: γαμιέε, γαμιέε, γαμιέε, γαμιέε, γαμιέε ."
64,0,0,@USER είαι ανέα@
65,0,0,@USER ε α . ο βλημα ξεκίνηε α αλιά ο οι ααίοι έβαζαν άνε να αίζον γναίκε .
66,0,0,"α δει ο ννα δεν καάλαβε ην εηη "" θα ήγαινε ε με ανεμένο;"" αι αάνηε ι erwtasmeta"
67,0,1,eutixeite αλο κακο ένα ε γονιμηα ο κάνει για να είαι ίγοο !
68,0,0,@USER  ΦΡΥΡΥ Τ ! ΤΥΡ Υ ΧΣ ΡΣΣ ! Ρ  ΤΥΣ Χ ΤΥΣ !  ΤΣ ! ΤΥ ΣΡ Τ Ρ ΤΥΣ !  ΣΡ Τ ΥΣΥΦ  ΥΡΡ ΤΩ ΥΣΥΩ ΡΤΣΤΩ !   ΣΩ ΣΤΥΣ ΡΥΣ !
69,0,0,"Το οι ήον γήγοο εμαοζάιο, δε ημαίνει  είαι κι έξνο . ekloges2019"
70,0,1,@USER ολο μολη ε είαι μοκμένο μέι ο λαγγι ογλαν ιμοκ ααα
71,0,0,ννοειαι οι η βια ειναι η αικια ο εειδη εαιξε οο με ο κιε κ ηαν ολλη α ο stage για ηλεο λογο οαν θα αει να ει ε οιανο ομαδα θα αει  ΣΪ  ΩΣ BREAK . TheVoiceGR
72,0,0,είμενα να είναι η αλλά .. εεαι_ΥΤΣ εεαι_ΥΤΣ
73,0,0,η ααγγη δεν ειε για κομαο gntmgr
74,0,0,"ηθε_και_ηαν_ μεγάλη η Χ 51% ήν 'θήνα . ο ημαίνει οί ο ημιο άγμα δέν γκινεί ήν λειοηία η αοία ν ολιν ο 1ο ήμο η Χα .  η,η έη,η καεθνη, η οιηα ν ον,οι ανάγκε,οι ιδέε . Φανάμαα η λη . Σάν ξένοι"
75,1,0,αν η ανάα βγαίνει βαιά 2 άγμαα μβαίνον .  έει νεα ή η ίεη ο έει άει α κονέ α α νεα ή έει και να κάνει εξ κι έει νεα ή η οάνα η ζή ε αδίκηε κι έει νεα ή βλέει ι ίδιε μοε η δολειά κι έει νεα ή Τ  Σ
76,0,0,ι λληνε ολάνε ι έ λίε η ... αοή - Σα η η ιμή agriesmelisses gntmgr
77,0,0,εν ιε  έει να είαι αθληή για να μει ο survivorGR
78,1,1,"Kαλα οι ζαιοι ειναι μαλακε, ο ααδαιο ι κανει έι"
79,0,0,shoppingstar ά είδαμε ά νια ονηολι ..
80,0,0,"ιαμ κβένηη,ικαιονη,Σ με οονίνα .  κβένηη έιαξε νομοθεικ λαίιο έ ο αμεανηο δολονο .  Σ αλά αακολοθεί ο οηικέ ο να άνε και να αειλον .  ικαιονη, ίεη, καελνει άξιο δικαικο για να ον διεκολνει ."
81,0,0,"βανική ική να ο εξηγοε ο ίδιο θα ήαν αγαηέ νζελο, ίοα δεν καάλαβαν gntmgr"
82,0,0, λήια ο είναι; ShoppingStar
83,0,0,"@USER κ ολε ο έομε άει ο αινίδι . ι λεκέ γναίκε γοάον να ηδιοναι με μαο . μήο η μάνα ο Obama ο ανεηκε ον ενάη, ην αάηε ε δο νια και μεά ξαναανεηκε έναν αιάη ο ην έδενε"
84,0,0,μεί άλι γελάμε με εένα Σοζάνα GNTMgr
85,0,0,αάκι έλα να κάνει κάνα ξκι ο αλήο λογαιαμο μο ε ίλε gntmgr
86,1,1,"Το μεαμα είναι ενα . ιε α,ιοο,μοκολο και ελει ειε α γο και κοκοει ο μαλακα αλι θα ε αηει ο διαβαηκε ."
87,0,0,λλο ένα μεημέι ο έαε με κέι και γέλιο ! Σο λοιο ξδάκι .... kalomesimeraki
88,0,0,Τζάμα ήγε η α η αία η άμα ..  έελνε ον άγο ι FF . gntmgr
89,0,0, αία κάνει μνιμα μνημνο με ξένα κολβα ...και οοιο κααλαβε ...κααλαβε ...GNTMgr
90,0,0,@USER ια μο για ολλοή οά μα ει με ο λοιο . οεί να οαθήει να είαι ιο ανικειμενική;  να λε ι μιλά για α 4 κμμαα να μην μα αίνει και εμά ο κμα;  είμαε λα α κμμαα ο ίδιο .
91,0,0,GNTMgr ; -εία ι δο μο εε α ην κονο; -άι έε ... -...
92,0,0,ει ιελίν είε η αμη βλάα; masterchefgr_xeftiles
93,1,1,κανένα: ον εα μο 8 .55: ανε γαμή- ανε γαμήο εγαιά
94,0,0,"@USER ια να άει να ο κανει γι αον ον λγο η αλλη μιλαμε για ην ειομή ο ""0 αακηα"".  ε ολλέ άλλε γναίκε δε γίνεαι μνο για εναν άηο . ιναι βαθεο ο βλημα και ει ολλέ νιε . ακάι να μεινεαι ο οο ν γναικν αν, κιμα"
95,0,0,@USER ειδή είαι καμένο κλαίνο ... μή; .
96,0,0,"αακαλ, μο ο λίγεε για δο; gntmgr"
97,0,0, ο άγμα να άνον α λογια ο άμα δεν έον κάο να α διαβάον αγμαικά με ξεενά masterchefgr_xeftiles MasterChefGR
98,0,0,ή είναι εααγγή kokkinopotami και ι AgriesMelisses ένα δμο και 5 ίια ο ο ένα έει άν ον άλλο !
99,0,0," Σ ΣΤ Ρ  ΥΣΤΡ ! ΣΤΣ ΤΡΥΣ Τ ΣΤ   ΣΣ Σ Υ !  Τ !  ΣΤ !    Σ'  Τ Ρ ! ΣΣ Τ ΣΤΡ ! ΥΤΣ  Σ, ΥΤ  !"
100,0,0,εκοε άια ο άη; gntmgr
101,0,0,gntmgr α είναι ο ί μάοα ο βάδ εαλοδα
102,0,1,@USER κμη να αεηθεί; Τελικά είαι ειεο και α ο μεγαλεο ολιικάνηδε ..
103,0,0,"ίηκε η Σοζάνα για ην ίλη η . αν κοιδεαν ην κλια για ο ο η μέα α μοα η, έκανε γελακια . gntmgr"
104,1,0,"αγκ Χααλαμιδο, ο θνικο μα κλο ε ! kalytera"
