content	label
δεν πιστευω οτι ειμαι 44 TheVoiceGR	0
οχι κυρια Καγια , λαθος . ολος ξερω οτι δεν θα σωσουμε ο κοσμος . αλλα πρεπει να παλευουμε καθε μερα για να εγω σωσουμε ! gntmgr gntm	0
αφροντ-ηττα κα ο αλλος μειωνας ο Ρια λεγοντας πως εσυ εισαι ο δυνατος πρεπει να μεινεις ....... τρομαρας σου SurvivorGR	0
@USER Βαζω να σου μιληζω ο δικια μου . " μεγαλε κοφτο αυτος με ο πουτανα γιατι θα σε κυνηγαω ακομα και σε ο υπνο σου "	1
και μεις μαρια μου να δεις ποσο εγω ευχαριστηθηκαμε gntmgr	0
Βασικα εγω αυτος πιστευω ! Μπορεις και εχεις δικαιωμα να εισαι ο , τι θελεις ! οπως και ο που και πως θα γεννηθης ειμαι τυχη ! σημασια εχω ο χαρακτηρας ! gntmgr	0
giatinparea εγω θελω ενα φουσκωτοχελωνα που να βρω !	0
Ετοιμαστηκε ο Σια για ο ευχαριστηριος απο ο Μπακογιαννης , ο οποιος ευχαριστησε ο αδερφη ο ... τι πορτος εφαγες μωρη Κοσσιωνη ; εκλογες_2019	0
@USER πιο πιθανος απο ο γυναικα μου σε τυπο πατουλενας	0
- εισαι ο ζωη μου . - Να με προσεχεις λοιπον , γιατι ο ζωη ειμαι γλυκια ....	0
ο βλημα ο βηλμα ειπε για ο ζενια οτι ειμαι πολυς καλο παιδι κ εχω πολυς καλος ψυχη ... οχι αλλος μαλακιος ... poweroflovegr	1
Reportistas . Αγαπημενες και αγαπημενος τηλεθεοι και Τηλεθεες προσοχη ! Φετος με τοσα Φαιναλ-φορ , θα χασω ο μπαλα , ο μικροφωνος και κατι αυγα απο ο καλαθιας . thefinal4gr TheVoiceGR	0
Ροζ πουτανα , δεν καταλαβε ρε ο κοσμος τι ψηφισε . μην μασατε , ΞΑΝΑΕΡΧΕΤΑΙ syriza_xeftiles ερχεται_μεγαλυτερη εκλογες2019	1
ο ομαδα ο Τσαουσοπουλου αποδεκατιζεται λογω ο coach μου . Φλομπα ο Μιχαλης τελικος ως κριτος . XFactorGR	0
@USER Καταρχας γιατι εισαι ξυπνιος τετοιος ωρα .. Δευτερο . τι ψηφισα και τριτος απολυτα αναμενομενος απαντηση ρε Σπυρος .. Ψαξτε ο ομως αυτος ο αριστερος .. αυτος που ολος ειμαι χαζοις και δεν εγω καταλαβαινω ...	0
αν εχεις συνειδητοποιησει οτι εισαις μαλακας μενεις ταπεινος	1
@USER Ειπαμε : εισαι ασχετος οπως καθε πατριδοκαπηλος εθνικις .	0
@USER εγω ευχομαι να χεις δικιο ομως πολυς κινηση ο Μητσοτακη δε μαρεσαν ειδικα σε ο κομματι ο εθνικος θωρακιση που χρειαζομαι ο χωρα οσο αφορω ο μεταναστης κ ο υποχωριτικοτητα . πιστευω ομως σε αλλος προσωπο ο ΝΔ . ο κακος ειμαι πως δεν υπαρχω αλλος χρονος ο Ελλαδα σβηνω	0
ο κατιος πεθανε απο ο ζηλεια ο κατιο antis unite gntmgr	0
Ξεκινα τωρα τρισκαταρατος καθαριστρια να στελνεις βιογραφικα σε συνεργειο καθαρισμος η ξεκινα ο πιπα .... Καρεκλα αλλος δεν προκειται να ξανα δης .Στο διαολο και ακομα παραπερα	1
Φετος ειμαι σιγουρα ο χρονια ο γυναικα . αυτος ο κοριτσι με ο πεισμα και ο παθος ο εχω δειξει πολυς . και αν φετος νικησει γυναικα θα χαρω πολυ να εισαι εσυ DimitraVamvakousi survivorgr	0
Αφωνος ο Νικος Μουτσινας με ο Μαρια Ηλιακη ! « Αμα δεν εγω βαφτισω θα εγω καψω ζωντανος » kalomesimeraki μουτσινα	0
@USER Ευχαριστω πολυ κατερινα μου για ο καλα σου λογος ! Να εισαι καλα !	0
@USER Για ο Ανταρσυας ο Λαε , ειμαι οτι για ο κκες ο ανταρσυα . δεν ειμαι αρκετα κοκκινος . ειδικα ο Λαφαζανης που περασε απο Τσιπρα ειμαι μολυσμενος . δεν εγω κατηγορω , σου ειπα προτιμω να εχεις ιδεολογια και ας χασεις ψηφοφορος απο ο να εισαι Ψαριανος και Οικονομου .	0
εγω παντως δε θα στεναχωριομω αν χωριζα καποιος με κιτρινο λουλουδατο πουκαμισος .. poweroflovegr	0
εν τω μεταξυ εχω αρχιζω να βαριεμαι τρελλα .. gntmgr	0
ο γαλλικα , ειμαι ο γλωσσα ο αριστοκρατια τοτε kokkinopotami	0
-που θελη να τελειωσω ; -οπου θελη εσυ . δηλαδη ρε μαλακος ενας ξεκαθαρη απαντηση δεν θα παρουμε ποτε . τι θελη να φω , οτι θες εσυ . Που θες να πω , οπου θες εσυ . Α και ΓΑΜΗΣΟΥ , οπου θες εσυ .	1
ο γαλλικ ο ειμαι αναμεσα σε Τζου απο φιλαρακι και βλαχοπουλου σε ο Παριζιανα TheVoiceGR	0
ΚΑΛΗΜΕΡΑ ηρθε_και_ηταν_μεγαλη συριζα_τελος ΣΥΡΙΖΑ_ξεφτιλος	0
ο Αντζελα @USER δεν θα ναι guest σε ο σχημα σε ο Θεσσαλονικη . θα ναι κανονικα με Χολιδη , Γιαννια και ειρηνη Παπαδοπουλου . ο λεγω χθες σε ο kalomesimeraki . kalytera	0
τοσο πολυ συμπαθω ο κεισι gntmgr	0
@USER Ελα Ταναση , μυαλαρα , ο ξεγελασα ολος ρε ιδιοφυια τρελη , ο παιζεις φιλευτερος , τρομαρα σου . μολις ειδα ο χρημα απο ε .Ε . για ο εισαγωμενος , ουτε ο προσχηματα δεν μπορεσας να κρατηση . σε καλος μερια Ταναση , καλοφαγωτα , και να παν σε ο διαολος απαντης ο υπολοιπος !	1
μπλα , ουμφ ... μονο σε ο Αγγλικα ο Καγια λεει κανονικος λεξεις και προταση ! GNTMgr	0
τελικα Ναι ο Κατερινα ειμαι πιο χαζη και απο αγκιναρα poweroflovegr	1
δεν εχω βλεπω πολυς γυναικα σε εταιρια μηχανικος . ‍️	0
αυτος που εχω γινομαι θεμα για ενας αβοκαντο ; Να μιλουσαμε για προφιτερολ , να εγω καταλαβω .. gntmgr	0
Ναι γεια μου , εγω εχω αυτος σε ακριβο ; GNTMgr	0
@USER εισαι μουντι δλδ	0
Τεσσερις απο αυτης δεν επρεπε να εγω ντυσω γοργονας , επρεπε να εγω ντυσω σμερνος GntmGr	1
@USER Πριν γινομαι μαυρος ασπρος ειμαι ηδη σε ο ιδιος ομαδα κ εχω κοντινος σχεση .Δεν γνωριζονται πρωτος φορα .Ομορφη κινηση ομαδικα θα ειμαι να προσφερω κ ο ασπρος σε μαυρος οταν εκεινος πειναγαν εναμιση μηνας . δεν γινομαι να μην εχεις κανω ο ιδιος οταν μπορουσες κ να ο θες τωρα .	0
Γιατι δεν ειμαι για μοντελος ! Γι’αυτο κερα Βικυ ! gntmgr	0
σε ο συμβολαιο που υπεγραψαν μαλλον θα εχω ως ορος να ερθουν ο πολυ δευτερος , οχι εσυ μωρης καμπια ο υπολοιπος MasterChefGR_Xeftiles	1
για να εχω ενας γαματος σαββατοβραδος τρωω κορν φλειξ και βλεπω ταινια . Βγειτε μαλακες για ποτα εγω .	1
@USER Αυτος εισαι ΟΛΟ ΗΘΟΣ ......	0
@USER εισαι πολυς μπροστα !	0
χεσε μου ρε Μουτσινα που δεν ειχες καταλαμβανω οτι ο πεννυ σε ο Μαυρα Μεσανυχτα ειμαι ο Γιουλικα Σκαφιδα ! kalomesimeraki	1
ο 2014 ο ΣΥΡΙΖΑ πηρε 26% , και μετα απο 4 χρονος διακυβερνηση επεσε μονο 2 μοναδα . Καμια τιμωρια σε Τσιπρα , αυτα ειμαι δημοσιογραφικα αρλουμπος , αν ισχυε θαο χαμε ανοδος κ αλλων μικρων κομματων . ο κοσμος θελω ΝΔΠΑΣΟΚ πισω , ηταν θετικη ψηφος σε στυλ 'μου λειψατε ' . Ξεφτιλα .	0
νομιζω πως αυτος με ο φορεμα νικω ... για να δουμε ομως ! shoppingstar	0
δεν διορθωνω ο μαλακας ο Ελληνας . Εβγαλε ενας ατομο για περιφεριαρχη , ο Πατουλη , ο απολυτος τιποτα που υποτιθεται ειμαι ιατρος αλλα δε ξερω ο τυφλα μου και ειμαι απλα επικινδυνος . περιφερειακες_εκλογος εκλογες2019 μαζι_καλα_να_τα_παθετε	1
ο Μαρια , ο ασχημος , ο δηθενς αστεια , ο τσομπανα κραζω ρε φιλε 24/7 ο Κατια ο υπερθεαρα . θα εγω πλακωσω ο ουρανιο και τοξα αυτος ο κοσμου . gntmgr gntm gntm2	1
@USER Να μην αδειασει ρε φιλε αυτος ο φορα . και εγω αδεια αρχιζω σε ο 6 αλλα κανονισα διακοπη απο 7 απογευμα για να προλαμβανω . οποιος ειμαι τοσο μαλακας που προτιμω να μην χαλανω ο διακοπη μου απο ο να ψηφινω , ας μην γκρινιαζω μετα αν εγω περιοριζω σταδιακα ο διακοπη ο	1
εγω γλενταω ο Δαλακα . Βολτα παει και πολυ γουσταρω . δεν υπαρχεις ρε ! ολο ο survivorgr εσυ εισαι ρε παικτουρα Δαλακα	0
ΟΛΑ ΚΑΛΑ Κ ΩΡΑΙΑ Αλιμονο XFactorGR	0
αν ειμαι να γινες σαν ο Ζαχαρωφ Μιλτος γαμας εγω δεσε ενας πετρα σε ο λαιμο και πεσε σε ο Βοσπορο kokkinopotami	1
@USER Πατρις-θρησκεια-οικογενεια , στελνεις ο γυναικα gia shoppingς therapy και χτιζεις ο αφορολογητο με ο ενας - προκατ λεμε !	0
@USER Σκασε μαλακισμενος	1
απο τοτε που λεγω " σε ψηφιζω επειδη μπαινεις πρωτος σε ο βαρκα " kalytera	0
και μετα θα πανε ο αλλος και θα πιασω ο ακρη ο μπαλονιος με ο χεριο μου ; μπιαξξ GNTMgr	0
Πηγαινε κανε κανενα vlog μωρη πατσαβουρα που θελετε κ Μυκονο GNTMgr	1
@USER για δεσιμο εισαι γενικα ...	0
ο Μαριτινα δαγκωνω και ξεχασε να παρει αντιδοτος ο εχιδνα gntmgr	1
