,label,predicted_label,content
0,1,1,"WhoIsQ WheresTheServer DumpNike DECLASFISA Democrats Support Antifa, Muslim Brotherhood, MS13, ISIS, Pedophilia, Child Trafficking, Taxpayer Funded Abortions, Election Fraud, Sedition And Treason !!! LockThemAllUp WWG1WGA QAnon ⁦@USER URL"
1,0,0,"ConstitutionDay is revered by Conservatives, hated by Progressives/Socialist/Democrats that want to change it ."
2,0,0,"FOXNews NRA MAGA POTUS TRUMP 2ndAmendment RNC USMC veterans @USER    @USER @USER @USER @USER   fakereporting THESWAMP dnc liberals @USER @USER fakeoutrage @USER  First, it reduces the ca URL"
3,0,0,Watching Boomer getting the news that she is still up for parole always makes me smile . Wentworth Finale ...@USER is such a treasure . URL
4,1,0,NoPasaran: Unity demo to oppose the far-right in London – antifa Oct13 — Enough is Enough ! URL
5,1,1,. . . What the fuck did he do this time ?
6,0,1,RAP is a form of ART ! Used to express yourself freely . It does not gv the green light or excuse the behavior of acting like an animal ! She is not in the streets of the BX where violence is a way of living . Elevate yourself boo and get on @USER level for longevity ! QUEEN👑
7,1,1,@USER Do you get the feeling he is kissing @USER behind so he can humiliate him later ?
8,0,0,5 Tips to Enhance Audience Connection on Facebook URL @USER socialmedia smm URL
9,0,0,BiggBossTamil janani won the task . She is going to first final list👏👏👏👏
10,0,0,Conservatives - the party of low taxation 😂 Tories Tory URL
11,0,0,"𝓒-𝓒𝓮𝓭𝓻𝓪𝓷 ..  The Nord cannot make a single move, but he is fully aware of what is happening . A chill comes down his spine as a ghostly, rather . . . calm female voice called for him from a corner of the room .  Before he even has time to /attempt/ a response, +"
12,0,0,ConsTOO THE PLACE FOR FED UP CONSERVATIVES !!!
13,0,0,GreatAwakening QAnon PatriotsUnited WWG1WGA AreYouAwake  WHEN YOU ARE AWAKE YOU SEE CLEARLY ❤️🧡💛💚  Check out this video URL URL
14,1,0,@USER Nigga ware da hits at
15,1,1,StopKavanaugh he is liar like the rest of the GOP URL
16,0,0,Dayspromo week of September 17th days dool  A coma does things to a gal . Sami: You are going to be ok . Hattie: No thanks to you .  Get her out of here . Before she finishes me off .  Hattie pretends to be Marlena .  The look on Kayla face is priceless . URL
17,0,0,BiggBossTelugu2 Lets all include @USER in all our tweets ...he is the business head of Star Maa network ..dont know if he knows about biggboss team and host hurting audience emotions  BiggBossTelugu2
18,0,0,"DallasPolicewoman kills neighbor in HIS own apartment ? WHAT went wrong ?? See:Officer who shot man in his own apartment was involved in 2017 shooting of a suspect . “She is devastated,said a Dallas police officer, adds she is ""so so sorry for his family ?"" URL"
19,0,1,Always smack URL
20,0,0,"BREAKING: After a week-long trial, a Linn County jury convicted Gregory Davis of First-Degree Murder in connection with the Carrie Davis homicide that took place almost a year ago . URL URL"
21,0,1,Kavanaugh so a wild claim from 36 years ago of groping has evolved into A Rape A Violent Sexual Event by Move URL a Soros based Org . that supports BLM Antifa etc . Unbeievable !
22,0,0,"kznlt Enjouji really is the prototype of my character brand, he is nothing but things that I love all rolled into one horrible package and fed directly into baby mes subconscious ."
23,0,0,SilsilaBadallteRishtonKa tag is filled with appreciation of @USER only ....   Never watched this serial but I always wanted appreciation for Aditi ... She is underrated since starting of the show ... She is worth of all this appreciation .. 👏👏👏
24,0,0,Beto BetoForSenate BetoORourke BetoforTX  Willie Nelson laughs at conservatives who are upset with him . URL
25,0,1,HIAC  Damn Matt Hardy and Randy Orton put on one hell in a cell match !! Woooo !!! I hope he is okay !!
26,0,0,@USER School shootings arent controversial . Wanting gun control is .
27,1,1,"@USER @USER Put DeLauro in a police lineup identifying the bag lady"" - she would be picked everytime ! She has to be proof either Conn voters are incompetent to vote or she is part of a vast voter fraud conspiracy ! No one votes for a woman that gross !"""
28,0,0,@USER *coffee spit* Spartacus moment ?  He never saw the film ...
29,1,1,"@ ALL FAMILY/FRIENDS , do not tell me  bad shit that your bf/gf did to you just to go right back to them !!!"
30,1,0,ChristineBlaseyFord is your Kavanaugh accuser ... Liberals try this EVERY time ... ConfirmJudgeKavanaugh URL
31,0,0,"@USER 'Fellow Democrats dont want @USER 🦅🇺🇸 @USER to do well .. its not about whats best for America . Its purely politics' - Dov Hikind, Democratic NY Assemblyman URL"
32,0,0,"osho quotes via @USER Listen to your being . It is continuously giving you hints . It is a still, small voice . It does not shout at you, that is true . And if you are a little silent you will start feeling your way . Be the person you are . Never try… URL URL"
33,0,0,"YYC @USER  looking hockey players of all ages/abilities for our Humboldt Tribute game Sunday 9/16 . Arrive 2pm, dress, participate in our opening ceremony . Contact lindsay .clothier@USER if you are interested ! WePlayForThem HumboldtStrong HockeyIsFamily GoNucks"
34,0,0,Conservatives Brexit putting Britain last .  Sending a chill down the spine of the UK .
35,0,0,Gamers go follow @USER on Twitter and twitch He is playing with @USER on BlackOps4 Blackout Please help and support them both on Twitter and twitch . Remember all SupportForSupport and SupportAllStreamers URL
36,0,0,"QuickTip: Find people already working in a company, or within the industry that you are interested in .  We know a lot of people ! Send us your resume to info@USER or message us RIGHT NOW URL URL"
37,0,0,LiberalLogic If Liberals get their way ..... URL
38,1,1,"ArianaAsesina ? Is that serious ?! Holy shit, please your fucking assholes, dont blame someone for the death of other one . She is sad enough for today, dont you see ? It isnt fault of none, he had an overdose and died . End . Stop wanting someone to blame, fuckers ."
39,1,1,@USER How is she hiding her ugly personality . She is the worst .
40,1,1,......bitch what URL
41,0,1,"Georgetown Classmate Says Left Accuser is Absolutely NUTS""  URL ""Judge Kavanaugh""@USER @USER @USER ABC CBS Democrats Liberals women MondayMotivation MondayMorning veterans law MAGA GOP CNN MSNBC NBC Moms BlackWomen BET"""
42,0,1,@USER @USER @USER Are you referring to how they lollygag with gun control as their kids get slaughtered in schools ?
43,1,0,@USER @USER @USER @USER @USER @USER @USER @USER @USER Im shocked to learn human traffickers had guns .  Some probably illegal too .  CA needs more gun control .  But dont worry about the actual crime .  The pic of black guns is worse .
44,0,0,WELOVESEUNGCHEOL @USER   I am happy and proud of the work you have done to train seventeen along with the other members . I see you and you are wonderful and incredible . I really love u ㅠㅠ 💕. URL
45,0,0,Chequers is a violation of democracy !!  StandUp4Brexit  @USER @USER @USER  The will of the people must be respected URL
46,0,1,"Sessions Tells Chicago: “If You Want More Shootings, More Death, Listen To ACLU, Antifa, BlackLivesMatter” URL"
47,1,1,Conservatives @USER - Youre  a clown !  URL
48,1,1,*voice in my head while I transfer money to my credit card* “bullshit that I bought and have to pay for”
49,0,0,Levi Strauss has “never been afraid to take an unpopular stand to support a greater good .” '  What about when they shut down all manufacturing in America ?  That wasnt even a news story when it happened . Maybe theyre right; it wasnt unpopular .  URL
50,0,0,"@USER $500,000 for her wedding . Clintons always know whats best ."
51,1,1,Kids Beating Paraplegic Trump Boy !  Left Teach Their Children Hate Violence !  schools teachers Democrats Liberals WalkAway Moms Mother NEA teachthemyoung Christian Catholic Jews Evangelicals family BlackWomen BlackTwitter Blacks News Media Disabled MAGA URL
52,0,0,"0-9 : B-1, J-1, R-1, B-2, Q-2, B-3, BX-3, B-4, RB-4, Z-4, B-5, Q-5, B-6, H-6, B-7, H-7, UT-7, B-8 (20:59:36)"
53,0,0,"AskAlly I only say that I adore you and you are a great person, please take care of yourself always❤️"
54,0,0,"DOJ employee resisters"" r looking up conservatives’ license plates, home addresses, legal details in LexisNexis 2give to Dem Socialists/Antifa-project Veritas .But dont worry, no govt in history has ever made political opponent lists and oppressed them🙄 URL"
55,0,0,Kelly McParland: Latest floor-crosser is telling truths the Liberals dont like hearing - URL URL
56,0,0,GreatAwakening QAnon PatriotsUnited WWG1WGA AreYouAwake  WHEN YOU ARE AWAKE YOU SEE CLEARLY ❤️🧡💛💚  Check out this video URL URL
57,0,0,"BoycottLevis Since the late 1990s, Levis has used its name and resources to attack gun rights . In 1999, the company gave $100,000 to gun control group PAX, followed by a $250,000 donation in 2000 and another $100,000 in 2001 . URL"
58,0,1,Are you fucking serious ?   URL
59,1,1,*gets all the bitches*
60,0,1,@USER @USER @USER I got in a pretty deep debate with my friend and she told me that latinos for Trump and blacks for Trump were paid supporters 😂 then I said you mean antifa are paid domestic terrorist and she said No they are  anti-fascist then I said they are the fascist are you kidding me ?!
61,1,0,Antifa: Take note of how to protest with civility .   This is why socialism (aka communism) will never win . It is inherently evil and unsustainable . URL
62,0,0,gmm roastmycat hi @USER  this is Fiona . She is about 10 weeks old . She falls asleep in weird places URL
63,1,1,@USER omg is he for real ?!?!!??????) this happened in peru like 40 years ago and the Inti devaluated so fucking much that they had to comoletely change the coin system because our money was worthless i-
64,1,1,"Conservatism101   Its not about our disagreements with Conservatives . Its that Conservatives cant debate honestly, and they have no integrity . Whatever gets them thru today, is all that matters to them . Theyre fundamentally dishonest people . URL"
65,0,0,Halloween Sign If You Are Reading This CreepingUp Behind You Wood Wall Decoration tmtinsta cwsigns  URL via @USER
66,0,0,"huniachiweek No matter what you are going through today or in the past few days, your situation is never permanent . God is going to change your life for good . Trust and Believe that He is able to . Please, Read ... URL"
67,0,1,@USER My only point of contention is this .  He decided to keep this group which has top end talent and also decided to hire hot trash Mike McCoy . Wilks hasnt even been able to get his defense to line up correctly . He is in over his head .
68,0,0,And yet everyone seems to lack it URL
69,0,0,MAGA   Expect more censorship URL
70,1,1,And apparently Im committed to going to a new level since I used the key .  Well FUCK .  Curiosity killed the Cat(hy)
71,0,0,NE need to check out a dentist and find out if she is has a perfect work record ? What about a child care facility ? Now you can check online for all kinds of licensed professionals and its free @ URL
72,1,1,@USER @USER @USER @USER Then why arent there so many shootings in Virginia ?  Jacksonville shooter got his guns IN MARYLAND !! Among the poster children for gun control !  What good did that do ?!  Youre full of crap .
73,0,0,Amnesty_International: US is in violation of international human rights law by not passing stronger gun_control URL via @USER URL
74,0,0,@USER Well she is Chuck Schumers cousin or niece or something so she is obviously part of the DNC conspiracy against Nixon . Or part of the Deep State . Or a Zionist plot . Or 'Big comedy'. Or whatever the hell todays conspiracy theory is .
75,0,0,GodsPraiseroom God keeps you even in the storms that may rock your boat - Lets all submit to His will after all he is the only one who really knows the end from the beginning URL
76,0,0,Spaldo is my guy .  He is my godson
77,1,0,"ANTIFA are bedfellows with The Democratic Socialists of America (DSA) who JamesOKeefe has exposed as being inserted throughout government, attempting to bring down America  Trump MAGA🇺🇸 DeepState  URL"
78,0,0,CNN ruthlessly continues Fakenews onslot . Wheres the honest analysis ? Right here !  URL tcot CNN NRA massshooting CNNISFAKENEWS Conservatives FakeNewsMedia FakeNews PBA FakeNewsCNN
79,0,0,Brexit Barometer: Labour fails to capitalise as Conservatives fail to please; Kantar: nearly two thirds of the UK believe the government is handling Brexit negotations poorly .  URL
80,1,0,@USER Antifa has TS level influence . Its scary .
81,1,1,"@USER I have three accounts . Two quasi-anonymous, and one completely anon . And if twitter ever bans one of the quasi-anon, Ill make two anon accounts and tweet the most insane shit . I will drown twitter in bullshit . If one of those is banned, Ill make even more ."
82,0,0,MAGA Alert : Joe Biden on Trump Supporters: 'The Dregs Of Society' (VIDEO) URL via @USER
83,0,0,$CERC is now Boyds 1 stock . And he is the sole holder of the stock among hedge funds we track . URL
84,0,0,"@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER City of Chicago, Democrat run with some of the strictest gun control in the nation .""  😂 Whats your point, NotThatBright ? URL"
85,1,1,Liberals are so pathetic !  INNOCENT UNTIL PROVEN GUILTY mean much ?  Democrats should look at their own party if they need a rapist to hang !  KavanaughIsInnocent WalkAwayFromDemocrats . LiberalLies are straight from the Pitts of HELL 🔥 URL
86,0,0,"Trump may be many things, but he is entertaining !!!! Thanks twitter URL"
87,1,1,"$10 Million reallocated from FEMA to ICE . This guy gives zero shits about anyone not named Trump . If youre in the mid Atlantic, get out . Now . URL"
88,1,1,FortniteBattleRoyale XboxShare @USER   Please ban this cheating scum .  he is literally invisible URL
89,0,0,"I once read about the man who invented bulbs, he saw failure differently, it was 5000 new wayz of doing it differently ..Now he is a genius#"
90,0,0,2AUnfettered Repeal all gun control laws . If the government can use it then the people should be able to as well . URL
91,0,0,.. Good thing it was responsible US Marines ..  Im pretty sure a group of Antifa members wouldnt be running that fast in that direction to help anyone let alone elder seniors ..  Thank you @USER ..  We salute You❗️  @USER @USER  @USER URL
92,0,1,"FordTheatre  Right on Cue, a GoFundMe acct has been set up for this person, the new Liberals  mode of bribery and payoffs ! @USER  Really should  investigate these GoFundMe as a  New outlet for  slush funds ! Comey, McCabe, Strzok"
93,0,0,"Christian If Twitter and Facebook can silence conservatives, Christians we are next . Once censored, the darkness takes over . Help us grow in by living your faith aloud . Where we go one we go all . Prayer warriors, please help us grow this movement . URL"
94,0,0,"6ix9ine aus den speakern, fick deine political correctness"
95,0,0,fall fashion trending coats colors URL We have What You are looking for ! airdrie calgary lethbridge toronto vancouver princegeorge URL
96,0,0,"republicans put WALLin budget ..you are going to loose Pres .Trump followers . He is why U R there, so support him URL"
97,0,0,gmm roastmycat hi @USER  this is Fiona . She is about 10 weeks old . She falls asleep in weird places URL
98,1,0,SesameStreet BertandErnie the conversation about this is so unattractive . The creator says he didnt create a character gay and he is being attacked .
99,1,1,SerenaWilliams is so full of herself ...she is just as painful to watch as to listen to ...
100,1,1,"ColinKapernaeck has done nothing but sit on his ass and complain . Its time black people and die hard white liberals, who think they are down with the cause aka @USER to wake the heck up or STFU ! Colin is not a Civil Rights hero or martyr . No where near it ."
101,0,0,"DanganronpaV3 ... here he is, claiming to be the mastermind, yet I still dont believe him . I dont think hes the mastermind . There is evidence that suggests he is, but then theres evidence that suggests hes not ..."
102,0,0,MonbebeSelcaDay she is beautiful URL
103,0,0,LockHimUpNow MAGA QAnon @USER best President ever URL
104,0,0,@USER GoodbyeNFL 👋 It was great before your players became Marxists ! Ill keep nixing any sports league that displays such support of the BS ‘oppression’ narrative . GoodbyeNIKE
105,0,0,Liberals Left Democrats Resist Resistance Antifa BlueWave BlueWave2018 Its 👌 to WalkAway 👍😆 🇺🇸 🇺🇸 🇺🇸 MAGA 🇺🇸 🇺🇸 🇺🇸   URL
106,0,0,"EmailMarketing sales I will teach you how to create your own exclusive, online 'traffic economy' so you are never short of leads and sales again URL URL"
107,1,0,". JEFF SESSIONS: ‘LISTEN TO THE ACLU, ANTIFA, BLACK LIVES MATTER’ IF YOU WANT MORE CHICAGO SHOOTINGS  . URL"
108,1,1,Amazon will ship live Christmas trees to your door — but will they stay and put on the damn lights ? URL
109,0,0,@USER How sweet ! Congratulations . Once he is house broken it will get better
110,1,1,@USER I BET she is a lot safer when she has sex now tho ? Or she wouldnt have just one but a few kids . Why cant moms get dicked down too ?
111,0,0,i2 This speaks for itself (NSFW) URL
112,0,0,"JameyComey has been so silent these last few weeks, because he knows hes going to be indicted . 13:35  FBI DOJ  Strzok Page TextMessages  QAnon  PatriotsFight  ty .@USER  MAGA  URL"
113,0,0,SupernaturalTNT TheManWhoWouldBeKing OMG !  @USER You are amazing ! @USER Crowley and Cas are always great together and I miss it !
114,0,0,"*Available for Adoption* Lincoln County, NC Roger A001257 SEX: MALE/NEUTERED  AGE: 13 weeks old INTAKE: 08/28/18 URL"
115,1,0,Conservatives Govt ' @USER made my life hell': whistleblowers say they were threatened by regulator; I thought this Govt promised to protect whistleblowers ?  URL
116,0,0,Apple live keynote AppleEvents   URL
117,0,0,@USER Zuckerberg lies .
118,0,0,lilduval “When you know u aint going to work tomorrow” HappyFriday SmileBitch LivingMyBestLife❤ HittemWithDaShoulders URL
119,0,0,AntifaHorst - whuuuuut ?! 😂  antifa maassen seehofer URL
120,0,0,"NoteToMyStalker n his empire: Trust me, if my penance of a life n career are true, Nature will leave no stone unturned in getting you .  You will be left with nothing .  Every one of you .  No matter how powerful you are ."
121,0,0,FreeLeahShaibu  Negotiate her release ! She is someones daughter ! ! @USER @USER
122,0,0,SerenaWilliams Serena was caught cheating with her coach but because its collaborative she thinks she is not a thief . In her mind the real thief is the umpire who spotted what was going on and called it out . Its like a couple of bank robbers blaming a guard for calling police
123,0,0,Antifa ........  Retweet if you cant stop watching this ...   URL
